Bulan,Negara,Inflasi
Jan-2017,Indonesia,0.0349
Feb-2017,Indonesia,0.0383
Mar-2017,Indonesia,0.0361
Apr-2017,Indonesia,0.0417
May-2017,Indonesia,0.0433
Jun-2017,Indonesia,0.0437
Jul-2017,Indonesia,0.0388
Aug-2017,Indonesia,0.0382
Sep-2017,Indonesia,0.0372
Oct-2017,Indonesia,0.0358
Jan-2017,Singapura,0.025
Feb-2017,Singapura,0.027
Mar-2017,Singapura,0.024
Apr-2017,Singapura,0.022
May-2017,Singapura,0.019
Jun-2017,Singapura,0.016
Jul-2017,Singapura,0.017
Aug-2017,Singapura,0.019
Sep-2017,Singapura,0.022
Oct-2017,Singapura,0.02
